Player,Team,Pos,Matches,Performance_Gls_per_match,Performance_Ast_per_match,Performance_G+A_per_match,Performance_G-PK_per_match,Expected_xAG_per_match,Expected_npxG+xAG_per_match,Progression_PrgP_per_match,Progression_PrgR_per_match
Kazeem Olaigbe,Trabzonspor,MF,11.0,0.0,0.0,0.0,0.0,,,,
Okay Yokuşlu,Trabzonspor,"MF,DF",9.0,0.111,0.0,0.111,0.111,,,,
Christ Inao Oulaï,Trabzonspor,MF,6.0,0.167,0.333,0.5,0.167,,,,
Ernest Muçi,Trabzonspor,"MF,FW",8.0,0.0,0.0,0.0,0.0,,,,
Ozan Tufan,Trabzonspor,"MF,DF",6.0,0.0,0.0,0.0,0.0,,,,
Edin Višća,Trabzonspor,MF,8.0,0.0,0.0,0.0,0.0,,,,
Anthony Nwakaeme,Trabzonspor,MF,1.0,0.0,0.0,0.0,0.0,,,,
Benjamin Bouchouari,Trabzonspor,MF,3.0,0.0,0.0,0.0,0.0,,,,
Batista Mendy,Trabzonspor,"DF,MF",2.0,0.0,0.0,0.0,0.0,,,,
Salih Malkoçoglu,Trabzonspor,MF,3.0,0.0,0.0,0.0,0.0,,,,
Cihan Çanak,Trabzonspor,MF,1.0,0.0,0.0,0.0,0.0,,,,
Muhammed Cham,Trabzonspor,MF,1.0,0.0,0.0,0.0,0.0,,,,
Boran Başkan,Trabzonspor,MF,1.0,0.0,0.0,0.0,0.0,,,,
Nélson Semedo,fenerbahce,"DF,MF",14.0,0.071,0.071,0.143,0.071,0.014,0.029,1.5,0.357
İsmail Yüksek,fenerbahce,MF,14.0,0.071,0.071,0.143,0.071,0.029,0.036,0.643,0.286
Kerem Aktürkoğlu,fenerbahce,"FW,MF",12.0,0.333,0.25,0.583,0.25,0.017,,0.917,1.25
Marco Asensio,fenerbahce,"MF,FW",13.0,0.462,0.154,0.615,0.462,0.015,0.031,1.077,0.692
Talisca,fenerbahce,MF,16.0,0.375,0.125,0.5,0.25,0.056,,0.5,0.562
Fred,fenerbahce,MF,15.0,0.0,0.133,0.133,0.0,0.007,0.033,0.8,0.067
Edson Álvarez,fenerbahce,MF,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.222
Sebastian Szymański,fenerbahce,"MF,FW",16.0,0.125,0.0,0.125,0.125,0.025,0.031,0.375,0.812
İrfan Kahveci,fenerbahce,"MF,FW",10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.4,0.4
Sofyan Amrabat,fenerbahce,MF,2.0,0.0,0.0,0.0,0.0,,,,
Bartuğ Elmaz,fenerbahce,MF,3.0,0.0,0.0,0.0,0.0,,,,
Cenk Tosun,fenerbahce,MF,6.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.333
Cengiz Ünder,fenerbahce,"FW,MF",1.0,0.0,0.0,0.0,0.0,,,,
Alexander Djiku,fenerbahce,"DF,MF",1.0,0.0,0.0,0.0,0.0,,,,
